feature,mean_contribution,median_contribution,std_contribution,max_positive,max_negative,positive_count,negative_count
MMSE,1.0351034,0.8302717,0.6063501,2.6464827,0.11365181,373,0
eTIV,0.42203012,0.426641,0.1697609,0.89011735,0.046234872,373,0
Age_nWBV,0.4020824,0.37887958,0.19351353,0.97518706,0.057047855,373,0
SES,0.35578725,0.3444328,0.12852485,0.68953675,0.081298515,373,0
nWBV,0.3492658,0.28704894,0.22681348,1.1663417,0.02395664,373,0
Age,0.32190263,0.3240023,0.12286759,0.6620639,0.05133158,373,0
M/F,0.31147355,0.2960298,0.1295871,0.72642297,0.08548703,373,0
EDUC,0.22703625,0.19971593,0.11709747,0.61370903,0.034591455,373,0
Brain_Ratio,0.2184519,0.2102586,0.090655744,0.6634076,0.017579067,373,0
nWBV_diff,0.17995095,0.16286778,0.11053318,0.87587786,0.029172547,373,0
